Name,Democratic Vote Total,Republican Vote Total,Difference,Ratio,voted_democrat_in_prev,voted_the_same_past_2
Alameda,617659,136309,481350,4.531314880161985,1,1
Alpine,476,244,232,1.9508196721311475,1,1
Amador,8153,13585,5432,0.6001472211998528,0,1
Butte,50426,48730,1696,1.0348040221629387,0,1
Calaveras,10046,16518,6472,0.6081850102918028,0,1
Colusa,3239,4559,1320,0.7104628207940338,0,1
Contra Costa,416386,152877,263509,2.7236667386199365,1,1
Del Norte,4677,6461,1784,0.7238817520507661,0,1
El Dorado,51621,61838,10217,0.8347779682395938,0,1
Fresno,193025,164464,28561,1.173661105165872,1,1
Glenn,3995,7063,3068,0.5656236726603426,0,1
Humboldt,44768,21770,22998,2.0564079007808913,1,1
Imperial,34678,20847,13831,1.6634527749796133,1,1
Inyo,4634,4620,14,1.003030303030303,0,1
Kern,133366,164484,31118,0.8108144257192189,0,1
Kings,18699,24072,5373,0.7767946161515453,0,1
Lake,14941,13123,1818,1.1385353958698468,1,1
Lassen,2799,8970,6171,0.3120401337792642,0,1
Los Angeles,3028885,1145530,1883355,2.644090508323658,1,1
Madera,23168,29378,6210,0.7886173326979372,0,1
Marin,128288,24612,103676,5.212416707297254,1,1
Mariposa,4088,5950,1862,0.6870588235294117,0,1
Mendocino,28782,13267,15515,2.1694429788196277,1,1
Merced,48991,39397,9594,1.243521080285301,1,1
Modoc,1150,3109,1959,0.36989385654551304,0,1
Mono,4013,2513,1500,1.5968961400716275,1,1
Monterey,113953,46299,67654,2.46124106352189,1,1
Napa,49817,20676,29141,2.409411878506481,1,1
Nevada,36359,26779,9580,1.3577430075805668,1,0
Orange,814009,676498,137511,1.2032688936257019,1,0
Placer,106869,122488,15619,0.8724854679642088,0,1
Plumas,4561,6445,1884,0.7076803723816912,0,1
Riverside,528340,449144,79196,1.1763265233421798,1,1
Sacramento,440808,259405,181403,1.6993041768662902,1,1
San Benito,17628,10590,7038,1.6645892351274787,1,1
San Bernardino,455859,366257,89602,1.2446424232164846,1,1
San Diego,964650,600094,364556,1.607498158621816,1,1
San Francisco,378156,56417,321739,6.702873247425422,1,1
San Joaquin,161137,121098,40039,1.330633041008109,1,1
San Luis Obispo,88310,67436,20874,1.3095379322617,1,1
San Mateo,291496,75584,215912,3.856583403895004,1,1
Santa Barbara,129963,65736,64227,1.977044541803578,1,1
Santa Clara,617967,214612,403355,2.879461539895253,1,1
Santa Cruz,114246,26937,87309,4.241229535583027,1,1
Shasta,30000,60789,30789,0.4935103390416029,0,1
Sierra,730,1142,412,0.6392294220665499,0,1
Siskiyou,9593,13290,3697,0.7218209179834462,0,1
Solano,131639,69306,62333,1.8993882203561019,1,1
Sonoma,199938,61825,138113,3.2339344925192073,1,1
Stanislaus,105841,104145,1696,1.0162849872773536,1,1
Sutter,17367,24375,7008,0.7124923076923076,0,1
Tehama,8911,19141,10230,0.46554516482942376,0,1
Trinity,2851,3188,337,0.8942910915934755,0,1
Tulare,66105,77579,11474,0.8520991505433171,0,1
Tuolumne,11978,17689,5711,0.6771439877890214,0,1
Ventura,251388,162207,89181,1.5497974809965045,1,1
Yolo,67598,27292,40306,2.476843030924813,1,1
Yuba,11230,17676,6446,0.6353247341027382,0,1
