Name,Democratic Vote Total,Republican Vote Total,Difference,Ratio,voted_democrat_in_prev,voted_the_same_past_2
Alameda,499551,140789,358762,3.5482246482324613,1,1
Alpine,479,243,236,1.97119341563786,1,1
Amador,7783,14018,6235,0.5552147239263804,0,1
Butte,44228,47179,2951,0.93745098454821,1,0
Calaveras,9181,16625,7444,0.5522406015037594,0,1
Colusa,2431,4414,1983,0.550747621205256,0,1
Contra Costa,356008,155308,200700,2.2922708424549927,1,1
Del Norte,4266,5999,1733,0.7111185197532922,0,1
El Dorado,47703,61109,13406,0.7806215123795186,0,1
Fresno,151628,165924,14296,0.9138400713579711,1,1
Glenn,3260,6904,3644,0.4721900347624565,0,1
Humboldt,39800,21559,18241,1.8460967577345888,1,1
Imperial,26083,26546,463,0.9825585775634748,1,1
Inyo,4201,4468,267,0.9402417188898836,1,0
Kern,108241,167879,59638,0.6447560445320737,0,1
Kings,15519,25074,9555,0.61892797319933,0,1
Lake,12794,13161,367,0.9721145809588937,1,1
Lassen,2478,8619,6141,0.28750435085276715,0,1
Los Angeles,2417109,1189862,1227247,2.031419610005194,1,1
Madera,20981,32344,11363,0.6486829087311402,0,1
Marin,116152,24054,92098,4.828801862476095,1,1
Mariposa,3622,5625,2003,0.6439111111111111,0,1
Mendocino,24049,13528,10521,1.7777202838557067,1,1
Merced,40190,43955,3765,0.9143442156751223,1,1
Modoc,1008,2884,1876,0.34951456310679613,0,1
Mono,3522,2294,1228,1.5353095030514385,1,1
Monterey,93060,49226,43834,1.8904643887376589,1,1
Napa,43212,20357,22855,2.1227096330500563,1,1
Nevada,33784,26177,7607,1.2905986171066204,1,1
Orange,691731,654815,36916,1.056376228400388,1,1
Placer,103958,123941,19983,0.8387700599478785,0,1
Plumas,4020,5725,1705,0.7021834061135371,0,1
Riverside,451782,463677,11895,0.9743463661126172,1,1
Sacramento,381564,252140,129424,1.5133021337352264,1,1
San Benito,15179,11702,3477,1.2971286959494104,1,1
San Bernardino,362114,378416,16302,0.9569204261976237,1,1
San Diego,841372,593270,248102,1.4181940768958485,1,1
San Francisco,323719,62594,261125,5.1717257245103365,1,1
San Joaquin,126647,128996,2349,0.9817901330273807,1,1
San Luis Obispo,81314,64932,16382,1.2522947083102323,1,1
San Mateo,242957,76616,166341,3.1711000313250497,1,1
Santa Barbara,114149,64870,49279,1.759657777092647,1,1
Santa Clara,510744,210924,299820,2.4214598623200776,1,1
Santa Cruz,100998,27978,73020,3.609907784687969,1,1
Shasta,27130,59539,32409,0.45566771359948943,0,1
Sierra,641,1066,425,0.6013133208255159,0,1
Siskiyou,8329,12461,4132,0.6684054249257684,0,1
Solano,113997,70345,43652,1.6205416163195678,1,1
Sonoma,179600,63426,116174,2.8316463280042883,1,1
Stanislaus,85347,106986,21639,0.7977398912007179,1,1
Sutter,13016,25372,12356,0.5130064638183824,0,1
Tehama,7415,18503,11088,0.40074582500135114,0,1
Trinity,2449,2979,530,0.8220879489761665,0,1
Tulare,53221,81854,28633,0.6501942482957461,0,1
Tuolumne,10909,17210,6301,0.6338756536897153,0,1
Ventura,217424,158901,58523,1.3682985003241013,1,1
Yolo,61405,27844,33561,2.205322511133458,1,1
Yuba,10725,18491,7766,0.5800118976799524,0,1
